rank,country,cases,deaths,recovered,active,critical,cases_1Mpop,deaths_1Mpop,tests,tests_1Mpop,population,continent
21,Netherlands,"45,445","5,830",,,223,"2,653",340,"324,918","18,967","17,131,112",Europe
22,Ecuador,"37,355","3,203","3,560","30,592",211,"2,121",182,"106,554","6,049","17,614,626",South America
23,Belarus,"37,144",204,"14,449","22,491",92,"3,931",22,"463,004","48,997","9,449,627",Europe
24,Bangladesh,"35,585",501,"7,334","27,750",1,216,3,"253,034","1,538","164,519,918",Asia
25,Sweden,"33,843","4,029","4,971","24,843",304,"3,353",399,"209,900","20,797","10,092,886",Europe
26,Singapore,"31,960",23,"15,738","16,199",8,"5,467",4,"294,414","50,365","5,845,641",Asia
27,Portugal,"30,788","1,330","17,822","11,636",72,"3,019",130,"689,705","67,621","10,199,578",Europe
28,Switzerland,"30,746","1,913","28,100",733,47,"3,555",221,"372,146","43,032","8,648,175",Europe
29,UAE,"30,307",248,"15,657","14,402",1,"3,068",25,"2,044,493","206,976","9,877,923",Asia
30,Ireland,"24,698","1,606","21,060","2,032",54,"5,008",326,"295,626","59,940","4,932,053",Europe
31,Indonesia,"22,750","1,391","5,642","15,717",,83,5,"256,946",940,"273,223,931",Asia
32,South Africa,"22,583",429,"11,100","11,054",128,381,7,"583,855","9,857","59,230,390",Africa
33,Kuwait,"21,967",165,"6,621","15,181",182,"5,152",39,"273,812","64,217","4,263,883",Asia
34,Poland,"21,631","1,007","9,276","11,348",160,571,27,"779,576","20,596","37,850,650",Europe
35,Ukraine,"21,245",623,"7,234","13,388",256,486,14,"291,868","6,670","43,758,701",Europe
36,Colombia,"21,175",727,"5,016","15,432",136,417,14,"252,742","4,973","50,826,673",South America
37,Romania,"18,283","1,205","11,630","5,448",177,950,63,"377,191","19,595","19,249,829",Europe
38,Egypt,"17,967",783,"4,900","12,284",41,176,8,"135,000","1,322","102,125,693",Africa
39,Israel,"16,734",281,"14,307","2,146",43,"1,819",31,"541,322","58,855","9,197,590",Asia
40,Japan,"16,550",820,"13,413","2,317",168,131,6,"271,201","2,144","126,513,796",Asia
41,Austria,"16,539",641,"15,138",760,31,"1,837",71,"405,341","45,032","9,001,207",Europe
42,Dominican Republic,"15,073",460,"8,285","6,328",123,"1,391",42,"69,608","6,423","10,836,671",North America
43,Philippines,"14,319",873,"3,323","10,123",81,131,8,"301,677","2,757","109,427,802",Asia
44,Argentina,"12,076",456,"3,999","7,621",171,267,10,"129,418","2,866","45,153,114",South America
45,Denmark,"11,387",563,"9,964",860,20,"1,967",97,"546,621","94,405","5,790,165",Europe
46,S. Korea,"11,206",267,"10,226",713,15,219,5,"826,437","16,121","51,264,841",Asia
47,Serbia,"11,193",239,"5,920","5,034",12,"1,281",27,"220,344","25,209","8,740,747",Europe
48,Afghanistan,"11,173",219,"1,097","9,857",19,288,6,"31,718",817,"38,831,756",Asia
49,Panama,"10,926",306,"6,279","4,341",72,"2,536",71,"58,240","13,520","4,307,539",North America
50,Bahrain,"9,171",14,"4,753","4,404",8,"5,412",8,"283,884","167,519","1,694,642",Asia
51,Czechia,"8,972",317,"6,180","2,475",24,838,30,"403,358","37,672","10,707,014",Europe
52,Kazakhstan,"8,531",35,"4,515","3,981",31,455,2,"671,774","35,822","18,753,268",Asia
53,Algeria,"8,503",609,"4,747","3,147",27,194,14,,,"43,765,771",Africa
54,Norway,"8,360",235,"7,727",398,12,"1,543",43,"234,637","43,316","5,416,911",Europe
55,Nigeria,"7,839",226,"2,263","5,350",7,38,1,"44,458",216,"205,570,171",Africa
56,Oman,"7,770",37,"1,933","5,800",31,"1,526",7,"72,000","14,140","5,092,104",Asia
57,Morocco,"7,495",200,"4,737","2,558",1,203,5,"146,598","3,977","36,864,928",Africa
58,Malaysia,"7,417",115,"5,979","1,323",8,229,4,"513,370","15,883","32,322,531",Asia
59,Moldova,"7,147",261,"3,802","3,084",286,"1,771",65,"40,565","10,054","4,034,871",Europe
60,Australia,"7,118",102,"6,531",485,5,279,4,"1,245,062","48,885","25,469,064",Australia/Oceania
61,Armenia,"7,113",87,"3,145","3,881",10,"2,401",29,"51,594","17,415","2,962,695",Asia
62,Ghana,"6,808",32,"2,070","4,706",16,220,1,"197,194","6,361","31,002,078",Africa
63,Finland,"6,599",308,"5,100","1,191",18,"1,191",56,"168,700","30,452","5,539,869",Europe
